Order Nr;CustomerID;Truck Nr;ProductID;Quantity
1;2386;1;MK462LL/A;2
1;2386;1;90YH00Q1-BAUA00;2
1;2386;2;SD10VG2/32GB;1
1;2386;1;DNS-327L;6
1;2386;3;SDA3/32GB;4
2;1952;3;MGLW2FD/A;9
2;1952;3;MJLT2LL/A;3
2;1952;1;SM-T560NZKAPHN;6
2;1952;1;LSD16GBBEU300;8
2;1952;3;SM-T555NZKADBT;3
2;1952;1;90YH0051-BBUA00;2
3;175;2;ME276FD/A;1
3;175;2;SM-T550NZKADBT;1
3;175;1;SDA10/16GB;5
3;175;3;1558;3
3;175;2;1636;4
4;222;3;ME276FD/A;3
4;222;3;SD10VG2/32GB;3
4;222;3;MB112ZM/C;2
5;856;2;90XB02C0-BMU000;5
5;856;2;MB112ZM/C;3
5;856;2;90-XB2400KM00130;2
5;856;2;G84-4420LUBEU-0;1
5;856;2;G84-4420LUBEU-0;10
5;856;2;JD-0800EU-2;3
6;1563;1;USB-N53;5
6;1563;1;DWA-121;2
6;1563;1;EN-9235TX-32 V2;8
6;1563;1;SD10VG2/16GB;6
6;1563;1;LSD16GBBEU300;2
6;1563;1;SD4/32GB;10
7;2333;3;SN1AW72B2E;5
7;2333;3;SM-T550NZKADBT;2
7;2333;3;MGHW2FD/A;7
7;2333;3;MJLT2LL/A;4
